net_pnl,trades,win_rate,profit_factor,sharpe,max_dd,vol_expansion_prob,breakout_prob
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.3,0.35
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.3,0.4
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.3,0.45
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.3,0.5
475903.2697932413,9132,0.4033070521243977,1.2812123513768066,3.001822484060347,34912.650279084206,0.3,0.55
464235.52032841253,8460,0.4052009456264775,1.2986222297829981,3.01926108615754,30058.49089795773,0.3,0.6
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.35,0.35
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.35,0.4
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.35,0.45
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.35,0.5
475903.2697932413,9132,0.4033070521243977,1.2812123513768066,3.001822484060347,34912.650279084206,0.35,0.55
464235.52032841253,8460,0.4052009456264775,1.2986222297829981,3.01926108615754,30058.49089795773,0.35,0.6
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.4,0.35
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.4,0.4
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.4,0.45
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.4,0.5
475903.2697932413,9132,0.4033070521243977,1.2812123513768066,3.001822484060347,34912.650279084206,0.4,0.55
464235.52032841253,8460,0.4052009456264775,1.2986222297829981,3.01926108615754,30058.49089795773,0.4,0.6
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.45,0.35
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.45,0.4
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.45,0.45
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.45,0.5
475903.2697932413,9132,0.4033070521243977,1.2812123513768066,3.001822484060347,34912.650279084206,0.45,0.55
464235.52032841253,8460,0.4052009456264775,1.2986222297829981,3.01926108615754,30058.49089795773,0.45,0.6
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.5,0.35
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.5,0.4
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.5,0.45
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,0.5,0.5
475903.2697932413,9132,0.4033070521243977,1.2812123513768066,3.001822484060347,34912.650279084206,0.5,0.55
464235.52032841253,8460,0.4052009456264775,1.2986222297829981,3.01926108615754,30058.49089795773,0.5,0.6
442912.0201949356,8227,0.4075604716178437,1.2944174672691486,3.0935545355327103,33679.530134576824,0.55,0.35
442912.0201949356,8227,0.4075604716178437,1.2944174672691486,3.0935545355327103,33679.530134576824,0.55,0.4
442912.0201949356,8227,0.4075604716178437,1.2944174672691486,3.0935545355327103,33679.530134576824,0.55,0.45
442912.0201949356,8227,0.4075604716178437,1.2944174672691486,3.0935545355327103,33679.530134576824,0.55,0.5
426245.9548402216,7927,0.4067112400655986,1.2938446212864196,3.018730060085047,34169.111210868934,0.55,0.55
411529.19181744405,7351,0.4079717045299959,1.3081205572447452,3.006508103355474,28737.534073698072,0.55,0.6
391241.8038175035,7072,0.40978506787330315,1.306286870849336,3.0558985070540063,31983.754384072934,0.6,0.35
391241.8038175035,7072,0.40978506787330315,1.306286870849336,3.0558985070540063,31983.754384072934,0.6,0.4
391241.8038175035,7072,0.40978506787330315,1.306286870849336,3.0558985070540063,31983.754384072934,0.6,0.45
391241.8038175035,7072,0.40978506787330315,1.306286870849336,3.0558985070540063,31983.754384072934,0.6,0.5
374469.18288112676,6818,0.40891757113523025,1.3033236263202341,2.9587590339014738,32193.58213828072,0.6,0.55
356579.09016915504,6333,0.4096005052897521,1.3130177764393716,2.9000006831584355,29397.28696773031,0.6,0.6
