trade_id,model,fold,entry_time,exit_time,bars_held,time_held_min,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,pnl_per_contract,mfe,mae,mfe_ticks,mae_ticks,entry_signal,exit_reason,cumulative_pnl,high_during,low_during
0,xgboost,1,2023-09-22 13:45:00-04:00,2023-09-22 14:00:00-04:00,4,15.0,LONG,1,4371.375,4373.125,87.5,5.0,12.5,70.0,70.0,281.25,93.75,22,7,0.6267,hold_bars,70.0,4377.0,4369.5
1,xgboost,1,2023-09-22 14:20:00-04:00,2023-09-22 14:35:00-04:00,4,15.0,SHORT,1,4368.625,4366.125,125.0,5.0,12.5,107.5,107.5,231.25,168.75,18,13,0.3799,hold_bars,177.5,4372.0,4364.0
2,xgboost,1,2023-09-22 15:05:00-04:00,2023-09-22 15:20:00-04:00,4,15.0,SHORT,1,4384.375,4387.125,-137.5,5.0,12.5,-155.0,-155.0,556.25,281.25,44,22,0.3623,hold_bars,22.5,4390.0,4373.25
3,xgboost,1,2023-09-22 15:40:00-04:00,2023-09-22 15:55:00-04:00,4,15.0,SHORT,1,4367.375,4361.625,287.5,5.0,12.5,270.0,270.0,506.25,531.25,40,42,0.3983,hold_bars,292.5,4378.0,4357.25
4,xgboost,1,2023-09-25 10:05:00-04:00,2023-09-25 10:20:00-04:00,4,15.0,SHORT,1,4355.375,4354.125,62.5,5.0,12.5,45.0,45.0,168.75,381.25,13,30,0.3765,hold_bars,337.5,4363.0,4352.0
5,xgboost,1,2023-09-25 10:30:00-04:00,2023-09-25 10:45:00-04:00,4,15.0,LONG,1,4356.625,4356.625,0.0,5.0,12.5,-17.5,-17.5,106.25,331.25,8,26,0.6049,hold_bars,320.0,4358.75,4350.0
6,xgboost,1,2023-09-25 10:55:00-04:00,2023-09-25 11:05:00-04:00,3,10.0,LONG,1,4348.625,4359.875,562.5,5.0,12.5,545.0,545.0,618.75,43.75,49,3,0.6348,take_profit,865.0,4361.0,4347.75
7,xgboost,1,2023-09-25 11:15:00-04:00,2023-09-25 11:30:00-04:00,4,15.0,SHORT,1,4371.125,4367.625,175.0,5.0,12.5,157.5,157.5,518.75,31.25,41,2,0.3856,hold_bars,1022.5,4371.75,4360.75
8,xgboost,1,2023-09-25 11:35:00-04:00,2023-09-25 11:40:00-04:00,2,5.0,SHORT,1,4366.375,4372.375,-300.0,5.0,12.5,-317.5,-317.5,43.75,368.75,3,29,0.3706,stop_loss,705.0,4373.75,4365.5
9,xgboost,1,2023-09-25 13:05:00-04:00,2023-09-25 13:20:00-04:00,4,15.0,LONG,1,4371.625,4369.125,-125.0,5.0,12.5,-142.5,-142.5,181.25,306.25,14,24,0.6316,hold_bars,562.5,4375.25,4365.5
