,equity
0,0.0
1,370.0
2,452.5
3,885.0
4,992.5
5,1200.0
6,1682.5
7,2015.0
8,2647.5
9,3442.5
10,3850.0
11,3945.0
12,3877.5
13,4122.5
14,4667.5
15,5162.5
16,5420.0
17,5502.5
18,5835.0
19,6080.0
20,6487.5
21,7070.0
22,7315.0
23,7222.5
24,7480.0
25,7562.5
26,7695.0
27,7865.0
28,7960.0
29,7905.0
30,8037.5
31,8520.0
32,8890.0
33,9497.5
34,9855.0
35,10062.5
36,10382.5
37,10815.0
38,11085.0
39,11117.5
40,11662.5
41,12245.0
42,12440.0
43,12447.5
44,12567.5
45,12575.0
46,12832.5
47,12740.0
48,12872.5
49,13055.0
50,13200.0
51,13507.5
52,13765.0
53,14172.5
54,14642.5
55,14975.0
56,14757.5
57,14840.0
58,15335.0
59,15580.0
60,15850.0
61,15982.5
62,16140.0
63,16785.0
64,16867.5
65,17250.0
66,17445.0
67,17977.5
68,17897.5
69,17992.5
70,17750.0
71,18520.0
72,19265.0
73,19635.0
74,19967.5
75,20137.5
76,20357.5
77,20727.5
78,21785.0
79,22205.0
80,22600.0
81,22757.5
82,22977.5
83,23397.5
84,23492.5
85,23762.5
86,23882.5
87,24190.0
88,24672.5
89,24792.5
90,25400.0
91,25945.0
92,26227.5
93,26647.5
94,27317.5
95,27512.5
96,27657.5
97,28215.0
98,28710.0
99,28955.0
100,29000.0
101,29445.0
102,29565.0
103,29735.0
104,29867.5
105,30075.0
106,30357.5
107,30815.0
108,31197.5
109,31830.0
110,32037.5
111,32545.0
112,32665.0
113,33247.5
114,33917.5
115,33987.5
116,33845.0
117,34202.5
118,34272.5
119,34242.5
120,34637.5
121,34745.0
122,34902.5
123,34985.0
124,35567.5
125,36437.5
126,36695.0
127,37015.0
128,37497.5
129,37855.0
130,38187.5
131,38095.0
132,38202.5
133,38360.0
134,38530.0
135,38637.5
136,38832.5
137,39365.0
138,39610.0
139,39642.5
140,40125.0
141,40357.5
142,40440.0
143,40422.5
144,40592.5
145,41250.0
146,41595.0
147,41940.0
148,41822.5
149,42167.5
150,42687.5
151,42745.0
152,42802.5
153,43010.0
154,43192.5
155,43087.5
156,43357.5
157,43640.0
158,43922.5
159,44105.0
160,44325.0
161,44557.5
162,44840.0
163,44822.5
164,45505.0
165,45812.5
166,46057.5
167,46440.0
168,46422.5
169,46992.5
170,47225.0
171,47382.5
172,47877.5
173,47972.5
174,48342.5
175,48987.5
176,48970.0
177,48690.0
178,48922.5
179,49417.5
180,49412.5
181,47932.5
182,48090.0
183,48722.5
184,48767.5
185,48875.0
186,48945.0
187,49090.0
188,49547.5
189,49655.0
190,49750.0
191,49807.5
192,50190.0
193,50735.0
194,51442.5
