,equity
0,0.0
1,70.0
2,177.5
3,22.5
4,292.5
5,337.5
6,320.0
7,865.0
8,1022.5
9,705.0
10,562.5
11,595.0
12,415.0
13,922.5
14,930.0
15,1100.0
16,1307.5
17,1165.0
18,1135.0
19,1230.0
20,537.5
21,245.0
22,415.0
23,710.0
24,455.0
25,-150.0
26,-492.5
27,-472.5
28,-315.0
29,-345.0
30,-687.5
31,-617.5
32,-897.5
33,-1127.5
34,-1520.0
35,-1412.5
36,-1042.5
37,-1060.0
38,-965.0
39,-995.0
40,-462.5
41,257.5
42,1315.0
43,1522.5
44,1305.0
45,1437.5
46,1557.5
47,1790.0
48,1697.5
49,1580.0
50,1125.0
51,845.0
52,1152.5
53,1010.0
54,1042.5
55,1300.0
56,907.5
57,540.0
58,535.0
59,455.0
60,-62.5
61,-230.0
62,-197.5
63,-402.5
64,-432.5
65,-725.0
66,-867.5
67,-935.0
68,-1277.5
69,180.0
70,-62.5
71,7.5
72,52.5
73,-265.0
74,-620.0
75,-687.5
76,-905.0
77,-660.0
78,-902.5
79,-957.5
80,-725.0
81,-242.5
82,490.0
83,285.0
84,380.0
85,37.5
86,20.0
87,-322.5
88,-165.0
89,-345.0
90,662.5
91,-317.5
92,-335.0
93,-40.0
94,167.5
95,-125.0
96,282.5
97,65.0
98,-1115.0
99,-545.0
100,-150.0
101,-355.0
102,-297.5
103,-415.0
104,-170.0
105,-437.5
106,-267.5
107,-322.5
108,-915.0
109,-695.0
110,-1150.0
111,-755.0
112,-485.0
113,-165.0
114,-57.5
115,75.0
116,-55.0
117,-360.0
118,-2140.0
119,-2045.0
120,-1850.0
121,-1892.5
122,-1722.5
123,-1790.0
124,-2157.5
125,-2850.0
126,-3055.0
127,-3235.0
128,-3515.0
129,-3820.0
130,-3987.5
131,-4267.5
132,-4510.0
133,-4790.0
134,-4720.0
135,-4600.0
136,-5580.0
137,-5472.5
138,-5215.0
139,-5395.0
140,-5787.5
141,-5717.5
142,-5435.0
143,-5390.0
144,-5570.0
145,-4725.0
146,-4830.0
147,-5022.5
148,-5027.5
149,-5207.5
150,-4937.5
151,-4867.5
152,-4485.0
153,-4765.0
154,-4782.5
155,-4762.5
156,-4855.0
157,-4935.0
158,-4890.0
159,-4220.0
160,-4100.0
161,-3992.5
162,-3735.0
163,-3865.0
164,-3857.5
165,-3912.5
166,-3892.5
167,-3935.0
168,-3915.0
169,-3907.5
170,-3862.5
171,-3692.5
172,-3760.0
173,-3665.0
174,-3570.0
175,-3612.5
176,-3592.5
177,-3460.0
178,-3577.5
179,-3582.5
180,-2975.0
181,-2642.5
182,-2960.0
183,-2827.5
184,-3170.0
185,-3512.5
186,-3355.0
187,-3272.5
188,-3040.0
189,-3182.5
190,-3300.0
191,-3217.5
192,-3947.5
193,-3515.0
194,-3482.5
195,-3200.0
196,-3780.0
197,-3622.5
198,-3090.0
199,-3232.5
200,-3187.5
201,-3080.0
202,-2722.5
203,-2802.5
204,-2795.0
205,-2737.5
206,-2855.0
207,-2947.5
208,-3015.0
209,-2882.5
210,-2887.5
211,-2530.0
212,-2635.0
213,-2665.0
214,-2732.5
215,-2712.5
216,-2942.5
217,-3097.5
218,-3127.5
219,-3032.5
220,-3025.0
221,-3130.0
222,-4247.5
223,-4677.5
224,-4457.5
225,-4687.5
226,-4992.5
227,-4585.0
228,-4515.0
229,-4432.5
230,-4300.0
231,-4305.0
232,-4110.0
233,-4402.5
234,-4682.5
235,-4800.0
236,-4792.5
237,-5085.0
238,-5302.5
239,-5357.5
240,-5212.5
241,-5205.0
242,-5272.5
243,-5540.0
244,-5820.0
245,-6262.5
246,-6180.0
247,-5810.0
248,-5802.5
249,-5945.0
250,-5962.5
251,-6142.5
252,-6147.5
253,-6640.0
254,-6920.0
255,-7362.5
256,-6817.5
257,-6435.0
258,-7002.5
259,-7332.5
260,-6800.0
261,-7105.0
262,-6935.0
263,-6315.0
264,-6270.0
265,-6250.0
266,-6392.5
267,-6697.5
268,-6690.0
269,-6720.0
270,-6750.0
271,-6780.0
272,-6810.0
273,-6202.5
274,-5657.5
275,-5625.0
276,-5480.0
277,-5797.5
278,-5877.5
279,-5770.0
280,-5625.0
281,-5655.0
282,-5460.0
283,-5802.5
284,-5745.0
285,-5612.5
286,-5667.5
287,-6010.0
288,-6315.0
289,-6107.5
290,-6300.0
291,-6430.0
292,-7760.0
293,-7477.5
294,-7520.0
295,-7212.5
296,-7117.5
297,-7035.0
298,-7015.0
299,-6995.0
300,-6987.5
301,-6967.5
302,-6897.5
303,-6977.5
304,-6970.0
305,-6850.0
306,-6667.5
307,-7047.5
308,-6415.0
309,-6682.5
310,-6300.0
311,-6630.0
312,-6560.0
313,-6627.5
314,-6682.5
315,-6912.5
316,-6480.0
317,-6110.0
318,-6165.0
319,-6257.5
320,-6625.0
321,-6692.5
322,-6647.5
323,-6527.5
324,-6570.0
325,-6737.5
326,-6605.0
327,-6685.0
328,-6627.5
329,-6682.5
330,-6862.5
331,-6705.0
332,-6672.5
333,-6765.0
334,-6970.0
335,-7000.0
336,-7330.0
337,-7260.0
338,-7277.5
339,-7620.0
340,-7275.0
341,-7617.5
342,-7772.5
343,-7752.5
344,-8057.5
345,-8037.5
346,-8130.0
347,-8022.5
348,-8352.5
349,-7895.0
350,-8112.5
351,-8117.5
352,-8122.5
353,-7577.5
354,-7320.0
355,-6800.0
356,-6792.5
357,-6847.5
358,-6890.0
359,-5945.0
360,-6337.5
361,-6092.5
362,-6460.0
363,-6315.0
364,-6732.5
365,-6137.5
366,-6055.0
367,-5872.5
368,-5852.5
369,-6007.5
370,-6125.0
371,-6142.5
372,-6047.5
373,-6415.0
374,-6345.0
375,-6500.0
376,-6480.0
377,-6660.0
378,-6552.5
379,-6757.5
380,-6912.5
381,-7217.5
382,-6422.5
383,-5777.5
384,-5320.0
385,-5412.5
386,-5617.5
387,-5647.5
388,-5677.5
389,-5720.0
390,-5575.0
391,-5630.0
392,-5947.5
393,-5727.5
394,-5545.0
395,-5787.5
396,-6055.0
397,-5872.5
398,-5465.0
399,-5695.0
400,-5775.0
401,-6130.0
402,-5860.0
403,-6315.0
404,-6157.5
405,-6062.5
406,-6067.5
407,-6372.5
408,-5865.0
409,-5957.5
410,-6025.0
411,-5955.0
412,-5885.0
413,-5777.5
414,-6520.0
415,-6812.5
416,-7267.5
417,-7660.0
418,-7727.5
419,-7745.0
420,-7637.5
421,-7530.0
422,-7422.5
423,-7465.0
424,-7507.5
425,-7400.0
426,-7705.0
427,-7797.5
428,-7790.0
429,-7732.5
430,-7625.0
431,-7680.0
432,-8510.0
433,-8527.5
434,-8820.0
435,-8900.0
436,-8692.5
437,-8772.5
438,-9140.0
439,-9720.0
440,-9662.5
441,-10180.0
442,-10047.5
443,-10227.5
444,-10257.5
445,-10312.5
446,-10617.5
447,-10572.5
448,-10102.5
449,-10382.5
450,-10412.5
451,-10792.5
452,-10922.5
453,-10952.5
454,-11032.5
455,-11012.5
456,-11380.0
457,-11672.5
458,-11765.0
459,-11870.0
460,-12000.0
461,-12417.5
462,-12910.0
463,-13240.0
464,-13595.0
465,-13550.0
466,-13892.5
467,-14372.5
468,-14652.5
