trade_id,model,fold,entry_time,exit_time,bars_held,time_held_min,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,pnl_per_contract,mfe,mae,mfe_ticks,mae_ticks,entry_signal,exit_reason,cumulative_pnl,high_during,low_during
0,lightgbm,1,2023-09-22 14:10:00-04:00,2023-09-22 14:25:00-04:00,4,15.0,SHORT,1,4366.625,4367.375,-37.5,5.0,12.5,-55.0,-55.0,193.75,306.25,15,24,0.3822,hold_bars,-55.0,4372.75,4362.75
1,lightgbm,1,2023-09-22 14:35:00-04:00,2023-09-22 14:50:00-04:00,4,15.0,LONG,1,4366.125,4367.375,62.5,5.0,12.5,45.0,45.0,206.25,168.75,16,13,0.6069,hold_bars,-10.0,4370.25,4362.75
2,lightgbm,1,2023-09-25 11:15:00-04:00,2023-09-25 11:30:00-04:00,4,15.0,SHORT,1,4371.125,4367.625,175.0,5.0,12.5,157.5,157.5,518.75,31.25,41,2,0.3823,hold_bars,147.5,4371.75,4360.75
3,lightgbm,1,2023-09-25 13:05:00-04:00,2023-09-25 13:20:00-04:00,4,15.0,LONG,1,4371.625,4369.125,-125.0,5.0,12.5,-142.5,-142.5,181.25,306.25,14,24,0.6169,hold_bars,5.0,4375.25,4365.5
4,lightgbm,1,2023-09-25 13:35:00-04:00,2023-09-25 13:50:00-04:00,4,15.0,LONG,1,4369.625,4368.625,-50.0,5.0,12.5,-67.5,-67.5,68.75,343.75,5,27,0.6291,hold_bars,-62.5,4371.0,4362.75
5,lightgbm,1,2023-09-25 15:55:00-04:00,2023-09-26 09:30:00-04:00,2,1055.0,SHORT,1,4379.375,4349.875,1475.0,5.0,12.5,1457.5,1457.5,1693.75,43.75,135,3,0.3543,take_profit,1395.0,4380.25,4345.5
6,lightgbm,1,2023-09-26 14:30:00-04:00,2023-09-26 14:45:00-04:00,4,15.0,SHORT,1,4314.625,4312.375,112.5,5.0,12.5,95.0,95.0,206.25,131.25,16,10,0.3969,hold_bars,1490.0,4317.25,4310.5
7,lightgbm,1,2023-09-26 15:20:00-04:00,2023-09-26 15:35:00-04:00,4,15.0,SHORT,1,4307.125,4309.875,-137.5,5.0,12.5,-155.0,-155.0,81.25,156.25,6,12,0.3969,hold_bars,1335.0,4310.25,4305.5
8,lightgbm,1,2023-09-27 09:30:00-04:00,2023-09-27 09:45:00-04:00,4,15.0,SHORT,1,4327.125,4324.125,150.0,5.0,12.5,132.5,132.5,293.75,231.25,23,18,0.3938,hold_bars,1467.5,4331.75,4321.25
9,lightgbm,1,2023-09-27 10:00:00-04:00,2023-09-27 10:15:00-04:00,4,15.0,SHORT,1,4319.125,4315.375,187.5,5.0,12.5,170.0,170.0,293.75,356.25,23,28,0.3982,hold_bars,1637.5,4326.25,4313.25
10,lightgbm,1,2023-09-27 11:15:00-04:00,2023-09-27 11:30:00-04:00,4,15.0,LONG,1,4310.875,4315.375,225.0,5.0,12.5,207.5,207.5,256.25,81.25,20,6,0.6375,hold_bars,1845.0,4316.0,4309.25
11,lightgbm,1,2023-09-27 13:00:00-04:00,2023-09-27 13:10:00-04:00,3,10.0,LONG,1,4300.875,4292.125,-437.5,5.0,12.5,-455.0,-455.0,31.25,456.25,2,36,0.6021,stop_loss,1390.0,4301.5,4291.75
12,lightgbm,1,2023-09-27 14:20:00-04:00,2023-09-27 14:25:00-04:00,2,5.0,SHORT,1,4288.625,4298.625,-500.0,5.0,12.5,-517.5,-517.5,231.25,518.75,18,41,0.3898,stop_loss,872.5,4299.0,4284.0
13,lightgbm,1,2023-09-27 15:00:00-04:00,2023-09-27 15:15:00-04:00,4,15.0,SHORT,1,4321.625,4319.125,125.0,5.0,12.5,107.5,107.5,506.25,431.25,40,34,0.3411,hold_bars,980.0,4330.25,4311.5
14,lightgbm,1,2023-09-27 15:25:00-04:00,2023-09-27 15:35:00-04:00,3,10.0,LONG,1,4319.875,4314.625,-262.5,5.0,12.5,-280.0,-280.0,218.75,356.25,17,28,0.6028,stop_loss,700.0,4324.25,4312.75
15,lightgbm,1,2023-09-28 09:30:00-04:00,2023-09-28 09:40:00-04:00,3,10.0,LONG,1,4314.875,4303.125,-587.5,5.0,12.5,-605.0,-605.0,6.25,693.75,0,55,0.6078,stop_loss,95.0,4315.0,4301.0
16,lightgbm,1,2023-09-28 12:00:00-04:00,2023-09-28 12:15:00-04:00,4,15.0,SHORT,1,4345.375,4348.875,-175.0,5.0,12.5,-192.5,-192.5,118.75,168.75,9,13,0.388,hold_bars,-97.5,4348.75,4343.0
17,lightgbm,1,2023-09-28 12:50:00-04:00,2023-09-28 13:05:00-04:00,4,15.0,LONG,1,4339.375,4342.875,175.0,5.0,12.5,157.5,157.5,406.25,181.25,32,14,0.6261,hold_bars,60.0,4347.5,4335.75
18,lightgbm,1,2023-09-28 15:20:00-04:00,2023-09-28 15:35:00-04:00,4,15.0,SHORT,1,4348.625,4333.375,762.5,5.0,12.5,745.0,745.0,781.25,118.75,62,9,0.3955,hold_bars,805.0,4351.0,4333.0
19,lightgbm,2,2023-09-29 13:55:00-04:00,2023-09-29 14:10:00-04:00,4,15.0,LONG,1,4313.625,4316.625,150.0,5.0,12.5,132.5,132.5,406.25,93.75,32,7,0.6231,hold_bars,937.5,4321.75,4311.75
20,lightgbm,2,2023-10-02 10:50:00-04:00,2023-10-02 11:05:00-04:00,4,15.0,LONG,1,4315.875,4318.375,125.0,5.0,12.5,107.5,107.5,518.75,243.75,41,19,0.6045,hold_bars,1045.0,4326.25,4311.0
21,lightgbm,2,2023-10-02 14:10:00-04:00,2023-10-02 14:20:00-04:00,3,10.0,SHORT,1,4318.125,4307.125,550.0,5.0,12.5,532.5,532.5,693.75,43.75,55,3,0.3849,take_profit,1577.5,4319.0,4304.25
22,lightgbm,2,2023-10-03 09:30:00-04:00,2023-10-03 09:45:00-04:00,4,15.0,LONG,1,4305.125,4312.875,387.5,5.0,12.5,370.0,370.0,468.75,318.75,37,25,0.6124,hold_bars,1947.5,4314.5,4298.75
23,lightgbm,2,2023-10-03 09:50:00-04:00,2023-10-03 10:00:00-04:00,3,10.0,SHORT,1,4314.875,4293.375,1075.0,5.0,12.5,1057.5,1057.5,1093.75,106.25,87,8,0.379,take_profit,3005.0,4317.0,4293.0
24,lightgbm,2,2023-10-03 11:25:00-04:00,2023-10-03 11:40:00-04:00,4,15.0,SHORT,1,4264.875,4261.875,150.0,5.0,12.5,132.5,132.5,393.75,156.25,31,12,0.3109,hold_bars,3137.5,4268.0,4257.0
