,equity
413,-4652.5
414,-4582.5
415,-4425.0
416,-4505.0
417,-4710.0
418,-4777.5
419,-4995.0
420,-5237.5
421,-5205.0
422,-5147.5
423,-5415.0
424,-5407.5
425,-5437.5
426,-5630.0
427,-5447.5
428,-5115.0
429,-5170.0
430,-5125.0
431,-4992.5
432,-5060.0
433,-5377.5
434,-5620.0
435,-5487.5
436,-5580.0
437,-5610.0
438,-5902.5
439,-5345.0
440,-5800.0
441,-5780.0
442,-5597.5
443,-5240.0
444,-4757.5
445,-4737.5
446,-4767.5
447,-4585.0
448,-4727.5
449,-4757.5
450,-4750.0
451,-4867.5
452,-4910.0
453,-5052.5
454,-5120.0
455,-5137.5
456,-4392.5
457,-5210.0
458,-5527.5
459,-6032.5
460,-6112.5
461,-6430.0
462,-6735.0
463,-6177.5
464,-6245.0
465,-6137.5
466,-6055.0
467,-6310.0
468,-5865.0
469,-6007.5
470,-6025.0
471,-5967.5
472,-5972.5
473,-5915.0
474,-5307.5
475,-5950.0
476,-5717.5
477,-6035.0
478,-6240.0
479,-6195.0
480,-6187.5
481,-6042.5
482,-6060.0
483,-6215.0
484,-6370.0
485,-6350.0
486,-6330.0
487,-6072.5
488,-6052.5
489,-6007.5
490,-6050.0
491,-6080.0
492,-6110.0
493,-6165.0
494,-6532.5
495,-6362.5
496,-6167.5
497,-6322.5
498,-6440.0
499,-6482.5
500,-6700.0
501,-6142.5
502,-5447.5
503,-5190.0
504,-5320.0
505,-5600.0
506,-5655.0
507,-5760.0
508,-5477.5
509,-5557.5
510,-5537.5
511,-5542.5
512,-5735.0
513,-5527.5
514,-5407.5
515,-5237.5
516,-5317.5
517,-5360.0
518,-5415.0
519,-5445.0
520,-5187.5
521,-5280.0
522,-5210.0
523,-5202.5
524,-5282.5
525,-5212.5
526,-5130.0
527,-4935.0
528,-5002.5
529,-4957.5
530,-5125.0
531,-5317.5
532,-5485.0
533,-5677.5
534,-5432.5
535,-5125.0
536,-5267.5
537,-5510.0
538,-5790.0
539,-5445.0
540,-5350.0
541,-5680.0
542,-5747.5
543,-5165.0
544,-4082.5
545,-3550.0
546,-2242.5
547,-2222.5
548,-2452.5
549,-1832.5
550,-1875.0
551,-2092.5
552,-1572.5
553,-1090.0
554,-970.0
555,-437.5
556,120.0
557,602.5
558,322.5
559,317.5
560,950.0
561,532.5
562,-35.0
563,-15.0
564,-370.0
565,187.5
566,-167.5
567,-297.5
568,-265.0
569,-332.5
570,-500.0
571,-5.0
572,-335.0
573,-302.5
574,-145.0
575,12.5
576,2807.5
577,2452.5
578,2222.5
579,2605.0
580,2400.0
581,2682.5
582,2890.0
583,2210.0
584,1880.0
585,2037.5
586,2007.5
587,1602.5
588,1735.0
589,2167.5
590,2250.0
591,2520.0
592,2815.0
593,3535.0
594,3805.0
595,4587.5
596,4795.0
597,7790.0
598,7335.0
599,6880.0
600,6750.0
601,6170.0
602,5840.0
603,6247.5
604,7280.0
605,6550.0
606,6095.0
607,6615.0
608,7610.0
609,7880.0
610,7137.5
611,6857.5
612,5765.0
613,6110.0
614,6592.5
615,5912.5
616,6482.5
617,6940.0
618,6660.0
619,5055.0
620,4650.0
621,4520.0
622,4402.5
623,4335.0
624,3880.0
625,3437.5
626,3182.5
627,3402.5
628,3722.5
629,4155.0
630,3925.0
631,4382.5
632,4665.0
633,4435.0
634,3830.0
635,3787.5
636,3495.0
637,3327.5
638,3472.5
639,4117.5
640,4000.0
641,3570.0
642,4090.0
643,3810.0
644,3892.5
645,3625.0
646,3832.5
647,4052.5
648,3672.5
649,3705.0
650,3612.5
651,3932.5
652,4015.0
653,3672.5
654,3717.5
655,3725.0
656,4307.5
657,5127.5
658,5435.0
659,5767.5
660,5562.5
661,5495.0
662,6065.0
663,6110.0
664,5655.0
665,5875.0
666,5670.0
667,5665.0
668,5335.0
669,5642.5
670,5250.0
671,4845.0
672,5365.0
673,4947.5
674,4955.0
675,5000.0
676,5095.0
677,5127.5
678,4972.5
679,5542.5
680,5300.0
681,4807.5
682,4602.5
683,4397.5
684,5530.0
685,5137.5
686,4107.5
687,4115.0
688,3885.0
689,3667.5
690,3375.0
691,3107.5
692,3165.0
693,3097.5
694,3167.5
695,3162.5
696,4007.5
697,4002.5
698,4747.5
699,4742.5
700,4387.5
701,4282.5
702,5102.5
703,5810.0
704,6017.5
705,5550.0
706,5157.5
707,4727.5
708,4335.0
709,4642.5
710,4475.0
711,4132.5
712,4165.0
713,4460.0
714,4830.0
715,4650.0
716,4807.5
717,4915.0
718,4610.0
719,4317.5
720,4300.0
721,4270.0
722,4177.5
723,4210.0
724,4105.0
725,4050.0
726,3745.0
727,3852.5
728,3697.5
729,3767.5
730,3487.5
731,3220.0
732,3065.0
733,2697.5
734,2667.5
735,3050.0
736,2057.5
737,1377.5
738,2047.5
739,1217.5
740,1350.0
741,3657.5
742,4015.0
743,4597.5
744,4317.5
745,3912.5
746,4032.5
747,3965.0
748,4685.0
749,4980.0
750,5125.0
751,4882.5
752,4565.0
753,4410.0
754,4130.0
755,3837.5
756,3520.0
757,3690.0
758,3797.5
759,3505.0
760,3150.0
761,2982.5
762,2902.5
763,2485.0
764,2080.0
765,1637.5
766,1657.5
767,1840.0
768,1772.5
769,1880.0
770,2000.0
771,2095.0
772,1715.0
773,2010.0
774,2042.5
775,1900.0
776,2070.0
777,1890.0
778,1835.0
779,1892.5
780,850.0
781,695.0
782,2027.5
783,2172.5
784,2355.0
785,2312.5
786,2457.5
787,2577.5
788,2435.0
789,2517.5
790,1287.5
791,770.0
792,840.0
793,835.0
794,817.5
795,862.5
796,1032.5
797,1652.5
798,1622.5
799,1467.5
800,762.5
801,1645.0
802,1140.0
803,1022.5
804,942.5
805,350.0
806,95.0
807,702.5
808,-215.0
809,267.5
810,362.5
811,532.5
812,477.5
813,347.5
814,-7.5
815,-62.5
816,-230.0
817,-22.5
818,147.5
819,517.5
820,0.0
821,-367.5
822,-2635.0
823,-2377.5
824,-2470.0
825,-2500.0
826,-3905.0
827,-3885.0
828,-4227.5
829,-3720.0
830,-3950.0
831,-3292.5
832,-3510.0
833,-3327.5
834,-3882.5
835,-3350.0
836,-3105.0
837,-3060.0
838,-2652.5
839,-2595.0
840,-2650.0
841,-2792.5
842,-2472.5
843,-2815.0
844,-2632.5
845,-2487.5
846,-2317.5
847,-2285.0
848,-2390.0
849,-2557.5
850,-2562.5
851,-2442.5
852,-2685.0
853,-2640.0
854,-2670.0
855,-2900.0
856,-2817.5
857,-2860.0
858,-3102.5
859,-3357.5
860,-3500.0
861,-3517.5
862,-3735.0
863,-3677.5
864,-3582.5
865,-3712.5
866,-3617.5
867,-3447.5
868,-3565.0
869,-3470.0
870,-3637.5
871,-3755.0
872,-4122.5
873,-4040.0
874,-4157.5
875,-2700.0
876,-2817.5
877,-2772.5
878,-3052.5
879,-3007.5
880,-3100.0
881,-3917.5
882,-4122.5
883,-4415.0
884,-4307.5
885,-4375.0
886,-4230.0
887,-4297.5
888,-4640.0
889,-4945.0
890,-4812.5
891,-4705.0
892,-4822.5
893,-4952.5
