entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,vol_prob,breakout_prob,predicted_atr,bars_held,exit_reason
2023-07-27 15:10:00+00:00,2023-07-27 15:20:00+00:00,SHORT,1,4611.5,4615.472822810113,-198.6411405056515,2.58,12.5,-213.7211405056515,0.6097542568227989,0.7912072564784217,3.9728228101128726,2,sl
2023-07-27 15:15:00+00:00,2023-07-27 15:30:00+00:00,SHORT,1,4613.5,4617.6126011546685,-205.6300577334241,2.58,12.5,-220.71005773342412,0.5157210581103882,0.5279292095329973,4.11260115466822,3,sl
2023-07-27 15:20:00+00:00,2023-07-27 15:55:00+00:00,LONG,1,4615.0,4610.7975002393205,-210.12498803397648,2.58,12.5,-225.2049880339765,0.6501173501099851,0.6451100677808821,4.202499760679428,7,sl
2023-07-27 15:25:00+00:00,2023-07-27 15:45:00+00:00,LONG,1,4615.75,4611.517091643393,-211.6454178303684,2.58,12.5,-226.7254178303684,0.7550471090725074,0.6554273550006279,4.232908356607272,4,sl
2023-07-27 15:30:00+00:00,2023-07-27 15:45:00+00:00,LONG,1,4617.75,4613.506310619863,-212.18446900684285,2.58,12.5,-227.26446900684286,0.9376611917588935,0.5926635586182097,4.243689380136813,3,sl
2023-07-27 15:35:00+00:00,2023-07-27 15:40:00+00:00,LONG,1,4618.0,4614.04073788565,-197.96310571750837,2.58,12.5,-213.04310571750838,0.8955262083956125,0.79566701475044,3.959262114350057,1,sl
2023-07-27 15:40:00+00:00,2023-07-28 10:25:00+00:00,LONG,1,4614.5,4610.288763540355,-210.56182298225394,2.58,12.5,-225.64182298225396,0.702564698225051,0.7139737446153335,4.211236459645486,4,sl
2023-07-27 15:45:00+00:00,2023-07-28 10:25:00+00:00,LONG,1,4612.0,4607.788763540355,-210.56182298225394,2.58,12.5,-225.64182298225396,0.6809686943689361,0.6691731425138346,4.211236459645486,3,sl
2023-07-27 15:50:00+00:00,2023-07-28 10:25:00+00:00,LONG,1,4612.5,4608.247290673626,-212.63546631871577,2.58,12.5,-227.71546631871578,0.6749296628456162,0.6691731425138346,4.252709326374314,2,sl
2023-07-27 15:55:00+00:00,2023-07-28 10:25:00+00:00,LONG,1,4613.0,4608.57070150931,-221.46492453448445,2.58,12.5,-236.54492453448447,0.7974287524824629,0.6146651834505563,4.429298490690011,1,sl
2023-07-28 10:30:00+00:00,2023-07-28 10:45:00+00:00,SHORT,1,4579.5,4581.629889340803,-106.49446704014736,2.58,12.5,-121.57446704014735,0.7044855612642295,0.8795691556093368,2.129889340802523,3,sl
2023-07-28 10:55:00+00:00,2023-07-28 11:30:00+00:00,LONG,1,4582.5,4587.1923950512655,234.61975256327605,2.58,12.5,219.53975256327604,0.9616634673231771,0.6278425701484964,2.2735339206971643,4,tp
2023-07-28 11:00:00+00:00,2023-07-28 11:30:00+00:00,LONG,1,4582.0,4586.748251127928,237.4125563963844,2.58,12.5,222.33255639638438,0.9491090153929093,0.6132044909731496,2.308784374007297,3,tp
2023-07-28 11:05:00+00:00,2023-07-28 11:35:00+00:00,LONG,1,4583.25,4588.010617767906,238.03088839531483,2.58,12.5,222.95088839531482,0.9321251263703753,0.7337920883506646,2.248867052780033,3,tp
2023-07-28 11:10:00+00:00,2023-07-28 12:05:00+00:00,LONG,1,4584.75,4589.9602246550985,260.511232754925,2.58,12.5,245.43123275492502,0.8271411042281331,0.7430502955327641,2.4558863516578713,5,tp
2023-07-28 11:30:00+00:00,2023-07-28 11:50:00+00:00,SHORT,1,4586.5,4588.99050481026,-124.52524051300315,2.58,12.5,-139.60524051300314,0.8097726493595346,0.5509644323441999,2.4905048102604526,3,sl
2023-07-28 11:35:00+00:00,2023-07-28 13:10:00+00:00,LONG,1,4586.75,4593.89806205504,357.403102752005,2.58,12.5,342.323102752005,0.8923631735182078,0.6306645768640307,3.4609743405825064,6,tp
2023-07-28 11:45:00+00:00,2023-07-28 13:10:00+00:00,LONG,1,4588.5,4594.525855176644,301.29275883218725,2.58,12.5,286.21275883218726,0.8979910412698316,0.7465141591050231,2.838024295161635,5,tp
2023-07-28 11:50:00+00:00,2023-07-28 13:10:00+00:00,LONG,1,4588.75,4594.347375055401,279.8687527700622,2.58,12.5,264.7887527700622,0.8979910412698316,0.7118177548241339,2.657937917180879,4,tp
2023-07-28 12:05:00+00:00,2023-07-28 13:30:00+00:00,LONG,1,4590.25,4598.707515867998,422.8757933999077,2.58,12.5,407.7957933999077,0.7745067370564825,0.7551887731842054,3.9751542499344255,7,tp
2023-07-28 13:10:00+00:00,2023-07-28 13:30:00+00:00,SHORT,1,4592.5,4597.040947186545,-227.0473593272527,2.58,12.5,-242.12735932725272,0.5183430141952914,0.7343904359337289,4.540947186544728,4,sl
2023-07-28 13:20:00+00:00,2023-07-28 13:35:00+00:00,LONG,1,4594.75,4590.1584644253235,-229.57677873382636,2.58,12.5,-244.65677873382637,0.5044387923622761,0.6924824719518331,4.591535574676375,3,sl
2023-07-28 13:25:00+00:00,2023-07-28 13:35:00+00:00,LONG,1,4596.5,4591.026783396267,-273.6608301866454,2.58,12.5,-288.7408301866454,0.5150118260144141,0.8847104691085513,5.473216603732821,2,sl
