entry_time,exit_time,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,exit_reason,bars_held,tech_vol_prob,sent_vol_prob,breakout_prob
2020-06-08 15:30:00+00:00,2020-06-08 15:40:00+00:00,LONG,1,3208.0,3203.817405982438,-209.12970087811118,2.58,12.5,-224.2097008781112,sl,1,0.7030184110560618,0.70184368784087,0.7377920423656348
2020-06-08 15:40:00+00:00,2020-06-08 15:45:00+00:00,SHORT,1,3203.75,3208.086329946257,-216.81649731285688,2.58,12.5,-231.8964973128569,sl,1,0.7232692137512455,0.5967775366252079,0.693248914571598
2020-06-09 12:15:00+00:00,2020-06-09 13:15:00+00:00,LONG,1,3203.5,3199.992245583481,-175.38772082596097,2.58,12.5,-190.46772082596098,sl,3,0.7448309884777422,0.5967775366252079,0.7223082183977555
2020-06-09 12:20:00+00:00,2020-06-09 13:15:00+00:00,LONG,1,3203.25,3199.5204533342735,-186.47733328632512,2.58,12.5,-201.55733328632513,sl,2,0.8387817410249411,0.6280378572881251,0.6436445856670405
2020-06-09 12:25:00+00:00,2020-06-09 13:15:00+00:00,LONG,1,3203.5,3200.012182107011,-174.39089464944573,2.58,12.5,-189.47089464944574,sl,1,0.8441233887140555,0.5967775366252079,0.6981100632360534
2020-06-09 14:05:00+00:00,2020-06-09 14:15:00+00:00,SHORT,1,3193.75,3198.915438076114,-258.27190380568936,2.58,12.5,-273.35190380568935,sl,2,0.8653439523782829,0.5531511487075683,0.7443764833873833
2020-06-10 09:00:00+00:00,2020-06-10 09:15:00+00:00,SHORT,1,3200.25,3205.4284172591283,-258.9208629564155,2.58,12.5,-274.00086295641546,sl,1,0.8066706723080024,0.7103232672256473,0.8279110460580674
2020-06-10 10:55:00+00:00,2020-06-10 12:30:00+00:00,LONG,1,3206.5,3213.622342724903,356.11713624514323,2.58,12.5,341.03713624514324,tp,8,0.7833261261146883,0.8221949630722586,0.8230371557689556
2020-06-10 11:10:00+00:00,2020-06-10 11:25:00+00:00,LONG,1,3207.75,3204.250949769322,-174.9525115339111,2.58,12.5,-190.0325115339111,sl,3,0.8223555582647532,0.7717152965124691,0.7445760196819976
2020-06-10 11:15:00+00:00,2020-06-10 11:25:00+00:00,LONG,1,3208.75,3205.799895200919,-147.5052399540573,2.58,12.5,-162.5852399540573,sl,2,0.7680029417443107,0.7469071686620793,0.8183401344424286
2020-06-10 11:20:00+00:00,2020-06-10 11:25:00+00:00,LONG,1,3208.75,3205.979508857178,-138.52455714109055,2.58,12.5,-153.60455714109057,sl,1,0.8707446944652352,0.694091337909499,0.6651063865921976
2020-06-10 12:30:00+00:00,2020-06-10 13:15:00+00:00,LONG,1,3215.0,3210.731868425289,-213.40657873554392,2.58,12.5,-228.48657873554393,sl,8,0.9185269199121257,0.6713810046199991,0.6979792755891011
2020-06-10 12:45:00+00:00,2020-06-10 13:15:00+00:00,LONG,1,3216.0,3212.1971388286775,-190.14305856612737,2.58,12.5,-205.22305856612738,sl,6,0.8044317498374136,0.7293970911717017,0.7895315429077707
