date,pnl,trades,wins,win_rate,cumulative_pnl
2023-09-22,3442.5,9,9,1.0,3442.5
2023-09-25,2637.5,10,9,0.9,6080.0
2023-09-26,1825.0,10,8,0.8,7905.0
2023-09-27,3212.5,10,10,1.0,11117.5
2023-09-28,1937.5,10,9,0.9,13055.0
2023-09-29,4390.0,17,16,0.9411764705882353,17445.0
2023-10-02,2912.5,10,8,0.8,20357.5
2023-10-03,3525.0,10,10,1.0,23882.5
2023-10-04,3775.0,10,10,1.0,27657.5
2023-10-05,2700.0,10,10,1.0,30357.5
2023-10-06,6080.0,19,17,0.8947368421052632,36437.5
2023-10-09,2200.0,10,9,0.9,38637.5
2023-10-10,2612.5,10,9,0.9,41250.0
2023-10-11,1837.5,10,8,0.8,43087.5
2023-10-12,2725.0,10,9,0.9,45812.5
2023-10-13,2120.0,16,11,0.6875,47932.5
2023-10-17,1875.0,10,10,1.0,49807.5
2023-10-18,2675.0,10,9,0.9,52482.5
2023-10-19,2312.5,10,7,0.7,54795.0
2023-10-20,4415.0,17,12,0.7058823529411765,59210.0
2023-10-23,2625.0,10,10,1.0,61835.0
2023-10-24,2737.5,10,10,1.0,64572.5
2023-10-25,2137.5,10,9,0.9,66710.0
2023-10-26,3925.0,10,10,1.0,70635.0
2023-10-27,5115.0,17,15,0.8823529411764706,75750.0
2023-10-30,2350.0,10,9,0.9,78100.0
2023-10-31,3000.0,10,10,1.0,81100.0
2023-11-01,2287.5,10,8,0.8,83387.5
2023-11-02,1212.5,10,7,0.7,84600.0
2023-11-03,2065.0,17,12,0.7058823529411765,86665.0
2023-11-06,1275.0,10,8,0.8,87940.0
2023-11-07,1612.5,10,9,0.9,89552.5
2023-11-08,1250.0,10,7,0.7,90802.5
2023-11-09,2512.5,10,10,1.0,93315.0
2023-11-10,3757.5,16,14,0.875,97072.5
2023-11-13,1112.5,10,9,0.9,98185.0
2023-11-14,2200.0,10,10,1.0,100385.0
2023-11-15,1362.5,10,9,0.9,101747.5
2023-11-16,1675.0,10,8,0.8,103422.5
2023-11-17,1650.0,15,12,0.8,105072.5
2023-11-20,325.0,10,5,0.5,105397.5
2023-11-21,1087.5,10,8,0.8,106485.0
2023-11-22,1687.5,10,9,0.9,108172.5
2023-11-23,162.5,10,6,0.6,108335.0
2023-11-24,880.0,9,7,0.7777777777777778,109215.0
2023-11-27,2300.0,15,14,0.9333333333333333,111515.0
2023-11-28,1500.0,10,8,0.8,113015.0
2023-11-29,1612.5,10,8,0.8,114627.5
2023-11-30,1900.0,10,9,0.9,116527.5
2023-12-01,1400.0,10,9,0.9,117927.5
2023-12-04,2965.0,17,15,0.8823529411764706,120892.5
2023-12-05,3012.5,10,10,1.0,123905.0
2023-12-06,1537.5,10,9,0.9,125442.5
2023-12-07,1362.5,10,8,0.8,126805.0
2023-12-08,2500.0,10,8,0.8,129305.0
2023-12-11,800.0,15,10,0.6666666666666666,130105.0
2023-12-12,1225.0,10,9,0.9,131330.0
2023-12-13,375.0,10,6,0.6,131705.0
2023-12-14,2187.5,10,10,1.0,133892.5
2024-01-02,1987.5,10,7,0.7,135880.0
2024-01-03,1602.5,17,13,0.7647058823529411,137482.5
2024-01-04,787.5,10,9,0.9,138270.0
2024-01-05,3300.0,10,10,1.0,141570.0
2024-01-08,1312.5,10,8,0.8,142882.5
2024-01-09,1425.0,10,9,0.9,144307.5
2024-01-10,3407.5,16,15,0.9375,147715.0
2024-01-11,3225.0,10,8,0.8,150940.0
2024-01-12,1850.0,10,8,0.8,152790.0
2024-01-15,587.5,10,4,0.4,153377.5
2024-01-16,2212.5,10,9,0.9,155590.0
2024-01-17,2352.5,12,12,1.0,157942.5
2024-01-18,1600.0,10,8,0.8,159542.5
2024-01-19,1400.0,10,9,0.9,160942.5
2024-01-22,1287.5,10,7,0.7,162230.0
2024-01-23,850.0,10,8,0.8,163080.0
2024-01-24,2865.0,12,12,1.0,165945.0
2024-01-25,2275.0,10,8,0.8,168220.0
2024-01-26,1962.5,10,10,1.0,170182.5
2024-01-29,725.0,10,8,0.8,170907.5
2024-01-30,987.5,10,8,0.8,171895.0
2024-01-31,2677.5,12,10,0.8333333333333334,174572.5
2024-02-01,3275.0,10,10,1.0,177847.5
2024-02-02,2412.5,10,8,0.8,180260.0
2024-02-05,1962.5,10,9,0.9,182222.5
2024-02-06,1462.5,10,8,0.8,183685.0
2024-02-07,1690.0,12,11,0.9166666666666666,185375.0
2024-02-08,1112.5,10,10,1.0,186487.5
2024-02-09,762.5,10,9,0.9,187250.0
2024-02-12,1587.5,10,10,1.0,188837.5
2024-02-13,2600.0,10,9,0.9,191437.5
2024-02-14,3052.5,12,12,1.0,194490.0
2024-02-15,1137.5,10,8,0.8,195627.5
2024-02-16,750.0,10,7,0.7,196377.5
2024-02-19,175.0,10,5,0.5,196552.5
2024-02-20,2250.0,10,8,0.8,198802.5
2024-02-21,1450.0,10,9,0.9,200252.5
2024-02-22,3132.5,16,15,0.9375,203385.0
2024-02-23,450.0,10,7,0.7,203835.0
2024-02-26,875.0,10,8,0.8,204710.0
2024-02-27,950.0,10,9,0.9,205660.0
2024-02-28,1450.0,10,10,1.0,207110.0
2024-02-29,1920.0,16,12,0.75,209030.0
2024-03-01,850.0,10,7,0.7,209880.0
2024-03-04,325.0,10,7,0.7,210205.0
2024-03-05,2550.0,10,9,0.9,212755.0
2024-03-06,1825.0,10,7,0.7,214580.0
2024-03-07,1607.5,16,13,0.8125,216187.5
2024-03-08,3200.0,10,9,0.9,219387.5
2024-03-11,2325.0,10,9,0.9,221712.5
2024-03-12,3825.0,10,9,0.9,225537.5
2024-03-13,1175.0,10,9,0.9,226712.5
2024-03-14,3242.5,14,11,0.7857142857142857,229955.0
2024-03-15,2337.5,10,8,0.8,232292.5
2024-03-18,1450.0,10,9,0.9,233742.5
2024-03-19,1275.0,10,8,0.8,235017.5
2024-03-20,750.0,10,8,0.8,235767.5
2024-03-21,1807.5,16,11,0.6875,237575.0
2024-03-22,1100.0,10,6,0.6,238675.0
2024-03-25,500.0,10,7,0.7,239175.0
2024-03-26,775.0,10,10,1.0,239950.0
2024-03-27,1287.5,10,10,1.0,241237.5
2024-03-28,2037.5,15,12,0.8,243275.0
2024-04-01,1225.0,10,8,0.8,244500.0
2024-04-02,2137.5,10,10,1.0,246637.5
2024-04-03,2262.5,10,9,0.9,248900.0
2024-04-04,650.0,10,7,0.7,249550.0
2024-04-05,2227.5,17,11,0.6470588235294118,251777.5
2024-04-08,1437.5,10,10,1.0,253215.0
2024-04-09,3150.0,10,8,0.8,256365.0
2024-04-10,2100.0,10,6,0.6,258465.0
2024-04-11,2575.0,10,10,1.0,261040.0
2024-04-12,2382.5,16,13,0.8125,263422.5
2024-04-16,3262.5,10,8,0.8,266685.0
2024-04-17,4050.0,10,9,0.9,270735.0
2024-04-18,2350.0,10,9,0.9,273085.0
2024-04-19,4120.0,16,14,0.875,277205.0
2024-04-22,2912.5,10,10,1.0,280117.5
2024-04-23,2462.5,10,9,0.9,282580.0
2024-04-24,2162.5,10,9,0.9,284742.5
2024-04-25,1637.5,10,8,0.8,286380.0
2024-04-26,2270.0,16,13,0.8125,288650.0
2024-04-29,1637.5,10,8,0.8,290287.5
2024-04-30,2812.5,10,9,0.9,293100.0
2024-05-01,2312.5,10,10,1.0,295412.5
2024-05-02,3650.0,10,9,0.9,299062.5
2024-05-03,3225.0,15,13,0.8666666666666667,302287.5
2024-05-06,925.0,10,9,0.9,303212.5
2024-05-07,687.5,10,8,0.8,303900.0
2024-05-08,1437.5,10,8,0.8,305337.5
2024-05-09,1500.0,10,9,0.9,306837.5
2024-05-10,1942.5,14,11,0.7857142857142857,308780.0
2024-05-13,900.0,10,8,0.8,309680.0
2024-05-14,1562.5,10,8,0.8,311242.5
2024-05-15,1575.0,10,8,0.8,312817.5
2024-05-16,850.0,10,7,0.7,313667.5
2024-05-17,1245.0,16,13,0.8125,314912.5
2024-05-20,1250.0,10,9,0.9,316162.5
2024-05-21,787.5,10,8,0.8,316950.0
2024-05-22,750.0,10,7,0.7,317700.0
2024-05-23,3312.5,10,10,1.0,321012.5
2024-05-24,3357.5,16,16,1.0,324370.0
2024-05-27,387.5,10,7,0.7,324757.5
2024-05-28,1150.0,10,8,0.8,325907.5
2024-05-29,1500.0,10,9,0.9,327407.5
2024-05-30,1450.0,10,8,0.8,328857.5
2024-05-31,5280.0,14,14,1.0,334137.5
2024-06-03,3125.0,10,9,0.9,337262.5
2024-06-04,2137.5,10,9,0.9,339400.0
2024-06-05,1425.0,10,9,0.9,340825.0
2024-06-06,1125.0,10,8,0.8,341950.0
2024-06-07,3360.0,13,12,0.9230769230769231,345310.0
2024-06-10,1175.0,10,8,0.8,346485.0
2024-06-11,2662.5,10,10,1.0,349147.5
2024-06-12,1900.0,10,8,0.8,351047.5
2024-06-13,1850.0,10,8,0.8,352897.5
2024-06-14,3185.0,13,13,1.0,356082.5
2024-06-17,1825.0,10,8,0.8,357907.5
2024-06-18,725.0,10,7,0.7,358632.5
2024-06-19,150.0,10,6,0.6,358782.5
2024-06-20,3000.0,10,10,1.0,361782.5
2024-06-21,2625.0,10,10,1.0,364407.5
2024-06-24,4012.5,15,14,0.9333333333333333,368420.0
2024-06-25,1512.5,10,8,0.8,369932.5
2024-06-26,2100.0,10,10,1.0,372032.5
2024-06-27,875.0,10,8,0.8,372907.5
2024-06-28,2500.0,10,8,0.8,375407.5
2024-07-01,3155.0,14,11,0.7857142857142857,378562.5
2024-07-02,1700.0,10,9,0.9,380262.5
2024-07-03,1300.0,10,8,0.8,381562.5
2024-07-04,562.5,10,8,0.8,382125.0
2024-07-05,1462.5,10,9,0.9,383587.5
2024-07-08,650.0,10,8,0.8,384237.5
2024-07-09,1077.5,12,9,0.75,385315.0
2024-07-10,775.0,10,8,0.8,386090.0
2024-07-11,2762.5,10,8,0.8,388852.5
2024-07-12,1837.5,10,7,0.7,390690.0
2024-07-15,2887.5,10,10,1.0,393577.5
2024-07-16,1227.5,12,9,0.75,394805.0
2024-07-17,2862.5,10,9,0.9,397667.5
2024-07-18,3962.5,10,9,0.9,401630.0
2024-07-19,4337.5,10,10,1.0,405967.5
2024-07-22,3175.0,10,8,0.8,409142.5
2024-07-23,1665.0,12,9,0.75,410807.5
2024-07-24,1850.0,10,9,0.9,412657.5
2024-07-25,3225.0,10,9,0.9,415882.5
2024-07-26,2375.0,10,8,0.8,418257.5
2024-07-29,3412.5,10,9,0.9,421670.0
2024-07-30,4490.0,12,12,1.0,426160.0
2024-07-31,2225.0,10,10,1.0,428385.0
2024-08-01,5562.5,10,10,1.0,433947.5
2024-08-02,6825.0,10,10,1.0,440772.5
2024-08-05,8275.0,10,8,0.8,449047.5
2024-08-06,5690.0,12,12,1.0,454737.5
2024-08-07,5525.0,10,10,1.0,460262.5
2024-08-08,4787.5,10,9,0.9,465050.0
2024-08-09,2662.5,10,7,0.7,467712.5
2024-08-12,3787.5,10,10,1.0,471500.0
2024-08-13,1465.0,12,9,0.75,472965.0
2024-08-14,3537.5,10,10,1.0,476502.5
2024-08-15,1925.0,10,8,0.8,478427.5
2024-08-16,1487.5,10,10,1.0,479915.0
2024-08-19,1587.5,10,8,0.8,481502.5
2024-08-20,2440.0,12,10,0.8333333333333334,483942.5
2024-08-21,2612.5,10,8,0.8,486555.0
2024-08-22,4262.5,10,9,0.9,490817.5
2024-08-23,5650.0,10,10,1.0,496467.5
2024-08-26,2562.5,10,10,1.0,499030.0
2024-08-27,2315.0,12,11,0.9166666666666666,501345.0
2024-08-28,1462.5,10,8,0.8,502807.5
2024-08-29,1537.5,10,7,0.7,504345.0
2024-08-30,3375.0,10,10,1.0,507720.0
2024-09-02,2705.0,9,9,1.0,510425.0
2024-09-03,4182.5,16,15,0.9375,514607.5
2024-09-04,3512.5,10,9,0.9,518120.0
2024-09-05,3975.0,10,10,1.0,522095.0
2024-09-06,4875.0,10,9,0.9,526970.0
2024-09-09,3150.0,10,10,1.0,530120.0
2024-09-10,6007.5,16,15,0.9375,536127.5
2024-09-11,4675.0,10,9,0.9,540802.5
2024-09-12,2512.5,10,6,0.6,543315.0
2024-09-13,2675.0,10,8,0.8,545990.0
2024-09-16,2575.0,10,10,1.0,548565.0
2024-09-17,3595.0,16,13,0.8125,552160.0
2024-09-18,1562.5,10,8,0.8,553722.5
2024-09-19,2400.0,10,8,0.8,556122.5
2024-09-20,2037.5,10,8,0.8,558160.0
2024-09-23,1750.0,10,8,0.8,559910.0
2024-09-24,1970.0,16,13,0.8125,561880.0
2024-09-25,987.5,10,9,0.9,562867.5
2024-09-26,1562.5,10,7,0.7,564430.0
2024-09-27,775.0,10,6,0.6,565205.0
2024-09-30,1262.5,10,9,0.9,566467.5
2024-10-01,7127.5,17,16,0.9411764705882353,573595.0
2024-10-02,3150.0,10,10,1.0,576745.0
2024-10-03,5012.5,10,9,0.9,581757.5
2024-10-04,3575.0,10,9,0.9,585332.5
2024-10-07,1375.0,10,8,0.8,586707.5
2024-10-08,3282.5,16,16,1.0,589990.0
2024-10-09,1875.0,10,10,1.0,591865.0
2024-10-10,2825.0,10,9,0.9,594690.0
2024-10-11,2412.5,10,9,0.9,597102.5
2024-10-14,1587.5,10,9,0.9,598690.0
2024-10-15,3077.5,17,13,0.7647058823529411,601767.5
2024-10-16,1700.0,10,10,1.0,603467.5
2024-10-17,2812.5,10,10,1.0,606280.0
2024-10-18,1575.0,10,9,0.9,607855.0
2024-10-21,3325.0,10,10,1.0,611180.0
2024-10-22,2420.0,16,16,1.0,613600.0
2024-10-23,2487.5,10,7,0.7,616087.5
2024-10-24,2050.0,10,8,0.8,618137.5
2024-10-25,2350.0,10,10,1.0,620487.5
2024-10-28,912.5,10,7,0.7,621400.0
2024-10-29,3462.5,15,14,0.9333333333333333,624862.5
2024-10-30,1350.0,10,8,0.8,626212.5
2024-10-31,3487.5,10,9,0.9,629700.0
2024-11-01,3675.0,10,9,0.9,633375.0
2024-11-04,4275.0,10,10,1.0,637650.0
2024-11-05,8340.0,17,15,0.8823529411764706,645990.0
2024-11-06,4200.0,10,9,0.9,650190.0
2024-11-07,1037.5,10,7,0.7,651227.5
2024-11-08,1375.0,10,10,1.0,652602.5
2024-11-11,812.5,10,9,0.9,653415.0
