,equity
457,101965.0
458,101860.0
459,101842.5
460,101950.0
461,102032.5
462,102015.0
463,102147.5
464,102130.0
465,102475.0
466,102682.5
467,102777.5
468,102760.0
469,102967.5
470,103062.5
471,103207.5
472,103440.0
473,104110.0
474,104330.0
475,104737.5
476,105107.5
477,105152.5
478,105247.5
479,105480.0
480,105575.0
481,105845.0
482,105990.0
483,106047.5
484,106130.0
485,106137.5
486,106120.0
487,106102.5
488,106097.5
489,106117.5
490,106100.0
491,106107.5
492,106152.5
493,106297.5
494,106442.5
495,106462.5
496,106495.0
497,106465.0
498,106497.5
499,106480.0
500,106587.5
501,107032.5
502,107215.0
503,107585.0
504,107680.0
505,107825.0
506,107820.0
507,107877.5
508,107960.0
509,107905.0
510,107975.0
511,107995.0
512,108040.0
513,108285.0
514,108405.0
515,108612.5
516,108857.5
517,109327.5
518,109247.5
519,109292.5
520,109887.5
521,109732.5
522,109977.5
523,110272.5
524,110317.5
525,110400.0
526,110557.5
527,110827.5
528,110822.5
529,111430.0
530,111537.5
531,111495.0
532,111790.0
533,112022.5
534,112255.0
535,112400.0
536,112507.5
537,112540.0
538,112885.0
539,113292.5
540,113650.0
541,113970.0
542,114152.5
543,114197.5
544,114442.5
545,114475.0
546,114495.0
547,114440.0
548,114685.0
549,114755.0
550,114837.5
551,114720.0
552,114827.5
553,115360.0
554,115367.5
555,115575.0
556,115707.5
557,115840.0
558,116072.5
559,116667.5
560,116600.0
561,116682.5
562,116790.0
563,117010.0
564,117242.5
565,117225.0
566,117370.0
567,117602.5
568,117585.0
569,117730.0
570,117850.0
571,117920.0
572,117990.0
573,118122.5
574,118880.0
575,119175.0
576,119845.0
577,119852.5
578,120097.5
579,120380.0
580,120662.5
581,121182.5
582,121565.0
583,121722.5
584,121905.0
585,122062.5
586,122145.0
587,122752.5
588,122772.5
589,122730.0
590,122987.5
591,123007.5
592,123090.0
593,123110.0
594,123442.5
595,123650.0
596,123520.0
597,123827.5
598,123972.5
599,124255.0
600,124612.5
601,124707.5
602,124940.0
603,124935.0
604,125092.5
605,125425.0
606,126045.0
607,126052.5
608,125735.0
609,126255.0
610,126862.5
611,127095.0
612,127090.0
613,127560.0
614,127592.5
615,127787.5
616,127720.0
617,127640.0
618,127935.0
619,128217.5
620,128350.0
621,128295.0
622,128377.5
623,128522.5
624,128542.5
625,128500.0
626,128457.5
627,128465.0
628,128560.0
629,128555.0
630,129100.0
631,129395.0
632,129552.5
633,129672.5
634,129742.5
635,129762.5
636,129807.5
637,130015.0
638,129997.5
639,130192.5
640,130150.0
641,130270.0
642,130377.5
643,130485.0
644,130517.5
645,130550.0
646,130507.5
647,130477.5
648,130460.0
649,130430.0
650,130512.5
651,130607.5
652,130977.5
653,131222.5
654,131430.0
655,131575.0
656,131895.0
657,132177.5
658,132322.5
659,132417.5
660,132700.0
661,133370.0
662,133927.5
663,133922.5
664,133842.5
665,134025.0
666,134157.5
667,134390.0
668,134447.5
669,134667.5
670,135087.5
671,135020.0
672,135627.5
673,135885.0
674,136267.5
675,136300.0
676,136320.0
677,136415.0
