trade_id,model,fold,entry_time,exit_time,bars_held,time_held_min,direction,contracts,entry_price,exit_price,gross_pnl,commission,slippage,net_pnl,pnl_per_contract,mfe,mae,mfe_ticks,mae_ticks,entry_signal,exit_reason,cumulative_pnl,high_during,low_during
0,lightgbm,1,2023-09-22 13:15:00-04:00,2023-09-22 13:30:00-04:00,4,15.0,SHORT,1,4384.875,4377.125,387.5,5.0,12.5,370.0,370.0,493.75,156.25,39,12,0.0125,hold_bars,370.0,4388.0,4375.0
1,lightgbm,1,2023-09-22 13:40:00-04:00,2023-09-22 13:55:00-04:00,4,15.0,LONG,1,4371.375,4373.375,100.0,5.0,12.5,82.5,82.5,281.25,93.75,22,7,0.6626,hold_bars,452.5,4377.0,4369.5
2,lightgbm,1,2023-09-22 14:00:00-04:00,2023-09-22 14:15:00-04:00,4,15.0,SHORT,1,4373.125,4364.125,450.0,5.0,12.5,432.5,432.5,518.75,118.75,41,9,0.1068,hold_bars,885.0,4375.5,4362.75
3,lightgbm,1,2023-09-22 14:20:00-04:00,2023-09-22 14:35:00-04:00,4,15.0,SHORT,1,4368.625,4366.125,125.0,5.0,12.5,107.5,107.5,231.25,168.75,18,13,0.335,hold_bars,992.5,4372.0,4364.0
4,lightgbm,1,2023-09-22 14:40:00-04:00,2023-09-22 14:55:00-04:00,4,15.0,LONG,1,4363.625,4368.125,225.0,5.0,12.5,207.5,207.5,293.75,43.75,23,3,0.9799,hold_bars,1200.0,4369.5,4362.75
5,lightgbm,1,2023-09-22 15:00:00-04:00,2023-09-22 15:05:00-04:00,2,5.0,LONG,1,4374.375,4384.375,500.0,5.0,12.5,482.5,482.5,506.25,381.25,40,30,0.9711,take_profit,1682.5,4384.5,4366.75
6,lightgbm,1,2023-09-22 15:15:00-04:00,2023-09-22 15:30:00-04:00,4,15.0,SHORT,1,4384.875,4377.875,350.0,5.0,12.5,332.5,332.5,356.25,256.25,28,20,0.3879,hold_bars,2015.0,4390.0,4377.75
7,lightgbm,1,2023-09-22 15:35:00-04:00,2023-09-22 15:45:00-04:00,3,10.0,SHORT,1,4377.125,4364.125,650.0,5.0,12.5,632.5,632.5,768.75,93.75,61,7,0.0581,take_profit,2647.5,4379.0,4361.75
8,lightgbm,1,2023-09-22 15:55:00-04:00,2023-09-25 09:30:00-04:00,2,3935.0,SHORT,1,4361.375,4345.125,812.5,5.0,12.5,795.0,795.0,893.75,218.75,71,17,0.0703,take_profit,3442.5,4365.75,4343.5
9,lightgbm,1,2023-09-25 09:35:00-04:00,2023-09-25 09:50:00-04:00,4,15.0,LONG,1,4349.875,4358.375,425.0,5.0,12.5,407.5,407.5,481.25,306.25,38,24,0.9881,hold_bars,3850.0,4359.5,4343.75
