date,pnl,trades,wins,win_rate,cumulative_pnl
2023-09-22,3442.5,9,9,1.0,3442.5
2023-09-25,2637.5,10,9,0.9,6080.0
2023-09-26,1762.5,10,8,0.8,7842.5
2023-09-27,3212.5,10,10,1.0,11055.0
2023-09-28,1937.5,10,9,0.9,12992.5
2023-09-29,3770.0,16,14,0.875,16762.5
2023-10-02,1850.0,10,7,0.7,18612.5
2023-10-03,3550.0,10,10,1.0,22162.5
2023-10-04,3337.5,10,9,0.9,25500.0
2023-10-05,2125.0,10,9,0.9,27625.0
2023-10-06,5610.0,18,15,0.8333333333333334,33235.0
2023-10-09,2037.5,10,8,0.8,35272.5
2023-10-10,2450.0,10,8,0.8,37722.5
2023-10-11,1837.5,10,8,0.8,39560.0
2023-10-12,2387.5,10,9,0.9,41947.5
2023-10-13,2882.5,16,13,0.8125,44830.0
2023-10-17,1875.0,10,10,1.0,46705.0
2023-10-18,3050.0,10,9,0.9,49755.0
2023-10-19,2287.5,10,7,0.7,52042.5
2023-10-20,4497.5,18,12,0.6666666666666666,56540.0
2023-10-23,1500.0,10,8,0.8,58040.0
2023-10-24,2737.5,10,10,1.0,60777.5
2023-10-25,2137.5,10,9,0.9,62915.0
2023-10-26,3812.5,10,10,1.0,66727.5
2023-10-27,5115.0,17,15,0.8823529411764706,71842.5
2023-10-30,2450.0,10,9,0.9,74292.5
2023-10-31,3000.0,10,10,1.0,77292.5
2023-11-01,2500.0,10,10,1.0,79792.5
2023-11-02,2050.0,10,10,1.0,81842.5
2023-11-03,1907.5,16,11,0.6875,83750.0
2023-11-06,1175.0,10,8,0.8,84925.0
2023-11-07,1637.5,10,9,0.9,86562.5
2023-11-08,1412.5,10,7,0.7,87975.0
2023-11-09,1550.0,10,8,0.8,89525.0
2023-11-10,3757.5,16,14,0.875,93282.5
2023-11-13,1437.5,10,9,0.9,94720.0
2023-11-14,2200.0,10,10,1.0,96920.0
2023-11-15,1362.5,10,9,0.9,98282.5
2023-11-16,1675.0,10,8,0.8,99957.5
2023-11-17,1732.5,16,14,0.875,101690.0
2023-11-20,325.0,10,5,0.5,102015.0
2023-11-21,1425.0,10,8,0.8,103440.0
2023-11-22,2550.0,10,10,1.0,105990.0
2023-11-23,162.5,10,6,0.6,106152.5
2023-11-24,880.0,9,7,0.7777777777777778,107032.5
2023-11-27,2295.0,16,14,0.875,109327.5
2023-11-28,1500.0,10,8,0.8,110827.5
2023-11-29,1712.5,10,8,0.8,112540.0
2023-11-30,1900.0,10,9,0.9,114440.0
2023-12-01,1400.0,10,9,0.9,115840.0
2023-12-04,3040.0,17,14,0.8235294117647058,118880.0
2023-12-05,3025.0,10,10,1.0,121905.0
2023-12-06,1537.5,10,9,0.9,123442.5
2023-12-07,1650.0,10,8,0.8,125092.5
2023-12-08,2500.0,10,8,0.8,127592.5
2023-12-11,1507.5,16,10,0.625,129100.0
2023-12-12,1050.0,10,8,0.8,130150.0
2023-12-13,362.5,10,6,0.6,130512.5
2023-12-14,2187.5,10,10,1.0,132700.0
2024-01-02,2387.5,10,8,0.8,135087.5
2024-01-03,3082.5,16,14,0.875,138170.0
2024-01-04,1650.0,10,7,0.7,139820.0
2024-01-05,3300.0,10,10,1.0,143120.0
2024-01-08,1025.0,10,7,0.7,144145.0
2024-01-09,1162.5,10,8,0.8,145307.5
2024-01-10,3520.0,16,16,1.0,148827.5
2024-01-11,2987.5,10,9,0.9,151815.0
2024-01-12,1850.0,10,8,0.8,153665.0
2024-01-15,700.0,10,5,0.5,154365.0
2024-01-16,2212.5,10,9,0.9,156577.5
2024-01-17,2352.5,12,12,1.0,158930.0
2024-01-18,2475.0,10,9,0.9,161405.0
2024-01-19,1762.5,10,9,0.9,163167.5
2024-01-22,1287.5,10,7,0.7,164455.0
2024-01-23,937.5,10,9,0.9,165392.5
2024-01-24,2865.0,12,12,1.0,168257.5
2024-01-25,2187.5,10,8,0.8,170445.0
2024-01-26,1875.0,10,10,1.0,172320.0
2024-01-29,900.0,10,9,0.9,173220.0
2024-01-30,912.5,10,7,0.7,174132.5
2024-01-31,2677.5,12,10,0.8333333333333334,176810.0
2024-02-01,3275.0,10,10,1.0,180085.0
2024-02-02,3387.5,10,10,1.0,183472.5
2024-02-05,1962.5,10,9,0.9,185435.0
2024-02-06,1912.5,10,9,0.9,187347.5
2024-02-07,1482.5,11,10,0.9090909090909091,188830.0
2024-02-08,1150.0,10,9,0.9,189980.0
2024-02-09,812.5,10,9,0.9,190792.5
2024-02-12,1350.0,10,10,1.0,192142.5
2024-02-13,2600.0,10,9,0.9,194742.5
2024-02-14,3352.5,12,12,1.0,198095.0
2024-02-15,1137.5,10,8,0.8,199232.5
2024-02-16,1037.5,10,8,0.8,200270.0
2024-02-19,175.0,10,5,0.5,200445.0
2024-02-20,2225.0,10,8,0.8,202670.0
2024-02-21,1325.0,10,9,0.9,203995.0
2024-02-22,3182.5,16,16,1.0,207177.5
2024-02-23,1812.5,10,8,0.8,208990.0
2024-02-26,1262.5,10,9,0.9,210252.5
2024-02-27,725.0,10,8,0.8,210977.5
2024-02-28,1425.0,10,10,1.0,212402.5
2024-02-29,2595.0,16,13,0.8125,214997.5
2024-03-01,2000.0,10,9,0.9,216997.5
2024-03-04,650.0,10,9,0.9,217647.5
2024-03-05,1162.5,10,7,0.7,218810.0
2024-03-06,1675.0,10,9,0.9,220485.0
2024-03-07,1212.5,15,11,0.7333333333333333,221697.5
2024-03-08,3200.0,10,9,0.9,224897.5
2024-03-11,2275.0,10,10,1.0,227172.5
2024-03-12,2312.5,10,9,0.9,229485.0
2024-03-13,900.0,10,7,0.7,230385.0
2024-03-14,3400.0,15,12,0.8,233785.0
2024-03-15,2362.5,10,9,0.9,236147.5
2024-03-18,1450.0,10,9,0.9,237597.5
2024-03-19,1512.5,10,7,0.7,239110.0
2024-03-20,962.5,10,9,0.9,240072.5
2024-03-21,1250.0,15,10,0.6666666666666666,241322.5
2024-03-22,1137.5,10,8,0.8,242460.0
2024-03-25,562.5,10,7,0.7,243022.5
2024-03-26,650.0,10,9,0.9,243672.5
2024-03-27,1287.5,10,10,1.0,244960.0
2024-03-28,1937.5,15,12,0.8,246897.5
2024-04-01,1500.0,10,9,0.9,248397.5
2024-04-02,2137.5,10,10,1.0,250535.0
2024-04-03,2162.5,10,8,0.8,252697.5
2024-04-04,700.0,10,7,0.7,253397.5
2024-04-05,3327.5,17,12,0.7058823529411765,256725.0
2024-04-08,1437.5,10,10,1.0,258162.5
2024-04-09,2575.0,10,7,0.7,260737.5
2024-04-10,862.5,10,5,0.5,261600.0
2024-04-11,2975.0,10,10,1.0,264575.0
2024-04-12,5620.0,16,15,0.9375,270195.0
2024-04-15,3162.5,10,9,0.9,273357.5
2024-04-16,3262.5,10,8,0.8,276620.0
2024-04-17,3612.5,10,9,0.9,280232.5
2024-04-18,2037.5,10,9,0.9,282270.0
2024-04-19,4737.5,15,14,0.9333333333333333,287007.5
2024-04-22,1700.0,10,9,0.9,288707.5
2024-04-23,2462.5,10,9,0.9,291170.0
2024-04-24,2125.0,10,9,0.9,293295.0
2024-04-25,1350.0,10,9,0.9,294645.0
2024-04-26,2270.0,16,13,0.8125,296915.0
2024-04-29,1637.5,10,8,0.8,298552.5
2024-04-30,2462.5,10,9,0.9,301015.0
2024-05-01,2750.0,10,10,1.0,303765.0
2024-05-02,3937.5,10,10,1.0,307702.5
2024-05-03,4007.5,16,16,1.0,311710.0
2024-05-06,1012.5,10,10,1.0,312722.5
2024-05-07,750.0,10,7,0.7,313472.5
2024-05-08,1437.5,10,8,0.8,314910.0
2024-05-09,1500.0,10,9,0.9,316410.0
2024-05-10,1942.5,14,11,0.7857142857142857,318352.5
2024-05-13,687.5,10,8,0.8,319040.0
2024-05-14,1575.0,10,7,0.7,320615.0
2024-05-15,1575.0,10,8,0.8,322190.0
2024-05-16,850.0,10,7,0.7,323040.0
2024-05-17,1245.0,16,13,0.8125,324285.0
2024-05-20,1250.0,10,9,0.9,325535.0
2024-05-21,400.0,10,7,0.7,325935.0
2024-05-22,225.0,10,7,0.7,326160.0
2024-05-23,2962.5,10,9,0.9,329122.5
2024-05-24,3357.5,16,16,1.0,332480.0
2024-05-27,387.5,10,7,0.7,332867.5
2024-05-28,1162.5,10,8,0.8,334030.0
2024-05-29,912.5,10,8,0.8,334942.5
2024-05-30,1587.5,10,9,0.9,336530.0
2024-05-31,4942.5,14,13,0.9285714285714286,341472.5
2024-06-03,3125.0,10,9,0.9,344597.5
2024-06-04,2762.5,10,10,1.0,347360.0
2024-06-05,1425.0,10,9,0.9,348785.0
2024-06-06,725.0,10,8,0.8,349510.0
2024-06-07,2897.5,13,11,0.8461538461538461,352407.5
2024-06-10,1175.0,10,8,0.8,353582.5
2024-06-11,2250.0,10,10,1.0,355832.5
2024-06-12,1900.0,10,8,0.8,357732.5
2024-06-13,2050.0,10,9,0.9,359782.5
2024-06-14,3185.0,13,13,1.0,362967.5
2024-06-17,1787.5,10,8,0.8,364755.0
2024-06-18,1062.5,10,8,0.8,365817.5
2024-06-19,100.0,10,6,0.6,365917.5
2024-06-20,3000.0,10,10,1.0,368917.5
2024-06-21,2300.0,10,10,1.0,371217.5
2024-06-24,4500.0,15,15,1.0,375717.5
2024-06-25,675.0,10,8,0.8,376392.5
2024-06-26,2100.0,10,10,1.0,378492.5
2024-06-27,875.0,10,8,0.8,379367.5
2024-06-28,2737.5,10,9,0.9,382105.0
2024-07-01,2692.5,14,11,0.7857142857142857,384797.5
2024-07-02,1712.5,10,9,0.9,386510.0
2024-07-03,1300.0,10,8,0.8,387810.0
2024-07-04,562.5,10,8,0.8,388372.5
2024-07-05,1762.5,10,10,1.0,390135.0
2024-07-08,650.0,10,8,0.8,390785.0
2024-07-09,1277.5,12,10,0.8333333333333334,392062.5
2024-07-10,450.0,10,7,0.7,392512.5
2024-07-11,2787.5,10,8,0.8,395300.0
2024-07-12,2000.0,10,7,0.7,397300.0
2024-07-15,2887.5,10,10,1.0,400187.5
2024-07-16,1465.0,12,10,0.8333333333333334,401652.5
2024-07-17,2862.5,10,9,0.9,404515.0
2024-07-18,3312.5,10,8,0.8,407827.5
2024-07-19,4337.5,10,10,1.0,412165.0
2024-07-22,4125.0,10,9,0.9,416290.0
2024-07-23,1852.5,12,10,0.8333333333333334,418142.5
2024-07-24,1325.0,10,9,0.9,419467.5
2024-07-25,3150.0,10,8,0.8,422617.5
2024-07-26,2375.0,10,8,0.8,424992.5
2024-07-29,2950.0,10,8,0.8,427942.5
2024-07-30,4540.0,12,11,0.9166666666666666,432482.5
2024-07-31,2300.0,10,10,1.0,434782.5
2024-08-01,5562.5,10,10,1.0,440345.0
2024-08-02,6937.5,10,10,1.0,447282.5
2024-08-05,8275.0,10,8,0.8,455557.5
2024-08-06,5690.0,12,12,1.0,461247.5
2024-08-07,5737.5,10,10,1.0,466985.0
2024-08-08,4787.5,10,9,0.9,471772.5
2024-08-09,3487.5,10,8,0.8,475260.0
2024-08-12,4137.5,10,10,1.0,479397.5
2024-08-13,1615.0,12,10,0.8333333333333334,481012.5
2024-08-14,3250.0,10,9,0.9,484262.5
2024-08-15,1925.0,10,8,0.8,486187.5
2024-08-16,1487.5,10,10,1.0,487675.0
2024-08-19,1962.5,10,8,0.8,489637.5
2024-08-20,2440.0,12,10,0.8333333333333334,492077.5
2024-08-21,2387.5,10,9,0.9,494465.0
2024-08-22,4400.0,10,9,0.9,498865.0
2024-08-23,5650.0,10,10,1.0,504515.0
2024-08-26,2562.5,10,10,1.0,507077.5
2024-08-27,2015.0,12,10,0.8333333333333334,509092.5
2024-08-28,1075.0,10,7,0.7,510167.5
2024-08-29,1350.0,10,7,0.7,511517.5
2024-08-30,3637.5,10,10,1.0,515155.0
2024-09-02,2587.5,10,9,0.9,517742.5
2024-09-03,4157.5,16,14,0.875,521900.0
2024-09-04,3325.0,10,9,0.9,525225.0
2024-09-05,3812.5,10,9,0.9,529037.5
2024-09-06,4637.5,10,9,0.9,533675.0
2024-09-09,2787.5,10,10,1.0,536462.5
2024-09-10,6170.0,16,15,0.9375,542632.5
2024-09-11,5712.5,10,9,0.9,548345.0
2024-09-12,2175.0,10,7,0.7,550520.0
2024-09-13,3125.0,10,10,1.0,553645.0
2024-09-16,2575.0,10,10,1.0,556220.0
2024-09-17,2977.5,17,12,0.7058823529411765,559197.5
2024-09-18,1375.0,10,8,0.8,560572.5
2024-09-19,2550.0,10,9,0.9,563122.5
2024-09-20,2037.5,10,8,0.8,565160.0
2024-09-23,2250.0,10,9,0.9,567410.0
2024-09-24,2257.5,16,14,0.875,569667.5
2024-09-25,925.0,10,9,0.9,570592.5
2024-09-26,1950.0,10,8,0.8,572542.5
2024-09-27,675.0,10,6,0.6,573217.5
2024-09-30,887.5,10,8,0.8,574105.0
2024-10-01,6190.0,17,16,0.9411764705882353,580295.0
2024-10-02,2400.0,10,9,0.9,582695.0
2024-10-03,5012.5,10,9,0.9,587707.5
2024-10-04,3575.0,10,9,0.9,591282.5
2024-10-07,1375.0,10,8,0.8,592657.5
2024-10-08,2907.5,16,16,1.0,595565.0
2024-10-09,1875.0,10,10,1.0,597440.0
2024-10-10,1837.5,10,6,0.6,599277.5
2024-10-11,2412.5,10,9,0.9,601690.0
2024-10-14,1812.5,10,8,0.8,603502.5
2024-10-15,3815.0,17,14,0.8235294117647058,607317.5
2024-10-16,2175.0,10,10,1.0,609492.5
2024-10-17,2762.5,10,10,1.0,612255.0
2024-10-18,1625.0,10,10,1.0,613880.0
2024-10-21,3325.0,10,10,1.0,617205.0
2024-10-22,3075.0,15,14,0.9333333333333333,620280.0
2024-10-23,2087.5,10,7,0.7,622367.5
2024-10-24,2025.0,10,9,0.9,624392.5
2024-10-25,2350.0,10,10,1.0,626742.5
2024-10-28,912.5,10,7,0.7,627655.0
2024-10-29,2850.0,15,14,0.9333333333333333,630505.0
2024-10-30,2337.5,10,10,1.0,632842.5
2024-10-31,3425.0,10,8,0.8,636267.5
2024-11-01,3687.5,10,9,0.9,639955.0
2024-11-04,3562.5,10,9,0.9,643517.5
2024-11-05,9015.0,17,15,0.8823529411764706,652532.5
2024-11-06,4200.0,10,9,0.9,656732.5
2024-11-07,987.5,10,10,1.0,657720.0
